eth_address,eos_amount,status,transaction_hash
0x2714a4f0c3984e2b9450b71100dbc7f3d4ca8653,348.606300000000000000,REQUESTED,
0x2815a3b05f045c48aef46095fd52748e1eaf0d20,101.898000000000000000,REQUESTED,
0x2878f4a6f67563aebadf0f7089c262713926b969,101.909100000000000000,REQUESTED,
0x2942ce389841f0cfb35a111e7a08c2af86d17532,165.682600000000000000,REQUESTED,
0x29d88fef02f611951c424ad4bdf157be3ff5a790,101.930700000000000000,REQUESTED,
0x2a5df59ee1a6f3e9a52bb7fca088434aa41ac337,165.613300000000000000,REQUESTED,
0x2c82984809fb568cb01012be7dc322fcf407065f,102.217000000000000000,REQUESTED,
0x2d228973ffb0c90b427bfcac34d2eeedb3775a09,165.622200000000000000,REQUESTED,
0x2e5ed02206b8a5062058461b840b6ec49dae37a4,101.939000000000000000,REQUESTED,
0x2e722ef4e4bca1b01012faf5dc5ddd2218988f90,175.786600000000000000,REQUESTED,
0x2ea2926459171c2459520496762f436bcebbb50e,101.922100000000000000,REQUESTED,
0x2fd9e01ebf46f5b67877aa0af8dfc76bd4493d1f,102.266000000000000000,REQUESTED,
0x308620bfb051441416aaa625b1ccaaaf02d3cc0a,102.286900000000000000,REQUESTED,
0x30aebcdcfdfa85418b406a4f3193e013e1e44f13,102.240000000000000000,REQUESTED,
0x3389d31f3ff6ee1d1c6258a1fa4f103f2e9950e0,110.234500000000000000,REQUESTED,
0x33f8ccd475d534e8193f95346dbab1f7148a8012,110.311000000000000000,REQUESTED,
0x345935b6dd9e536f6669a88894a64e4130e978e3,110.264900000000000000,REQUESTED,
0x34f9dbd09b869b7faf622ee7877feb8274e3f424,100.000000000000000000,REQUESTED,
0x350ae7cbc9fcbcf6d3c3577b35ea471ca6ead689,102.234000000000000000,REQUESTED,
0x35182f191200fafdb23e16bb0f52d09c6a233d8e,100.000000000000000000,REQUESTED,
0x3573c924729c4ada5ae2bddaaf0b383b5b7212d4,100.000000000000000000,REQUESTED,
0x35a1105649f8c655ca4f7c20273be1370db76b38,100.000000000000000000,REQUESTED,
0x35c7f99774f3082ce668292b369f2e40ed968aaf,100.000000000000000000,REQUESTED,
0x35f6a10bceace74f16dddf427379aadf1c41c08c,100.000000000000000000,REQUESTED,
0x361c78cfe215af9a626c8ae8d53e94fe512ab7d0,100.000000000000000000,REQUESTED,
